"source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"Neural","Myeloid","CD55","ADGRE5","Ligand","Receptor",0.343717665227742
"Neural","Myeloid","ICAM4","ITGB2","Ligand","Receptor",0.233162530763079
"MSC","Neural","APP","APLP2","Ligand","Receptor",0.209582364030465
"MSC","Neural","APP","LRP10","Ligand","Receptor",0.253902870181654
"MSC","Neural","APP","NCSTN","Ligand","Receptor",0.132819181619513
"MSC","Neural","ITGB2","CD226","Ligand","Receptor",0.135682814699853
"MSC","Neural","THBS1","CD36","Ligand","Receptor",0.391180976146295
"MSC","Neural","THBS1","CD47","Ligand","Receptor",0.297739805395299
"MSC","Neural","THBS1","SCARB1","Ligand","Receptor",0.297831464707814
"MSC","Neural","TNFSF13B","TFRC","Ligand","Receptor",0.391331866410137
"MSC","Neural","COL1A1","ITGA1","Ligand","Receptor",0.660394807251249
"MSC","Neural","COL1A1","CD44","Ligand","Receptor",0.742607518064707
"MSC","Neural","COL1A1","CD36","Ligand","Receptor",0.761426270920593
"MSC","Neural","COL4A1","ITGA1","Ligand","Receptor",0.114465455664629
"MSC","Neural","COL4A1","CD44","Ligand","Receptor",0.196678166478087
"MSC","Neural","FN1","CD79A","Ligand","Receptor",0.350680032899365
"MSC","Neural","FN1","CD44","Ligand","Receptor",0.44016747649466
"MSC","Neural","LAMB1","CD44","Ligand","Receptor",0.175586893415076
"MSC","Neural","COL1A2","ITGA1","Ligand","Receptor",0.682854638264266
"MSC","Neural","COL1A2","CD44","Ligand","Receptor",0.765067349077724
"MSC","Neural","COL1A2","CD36","Ligand","Receptor",0.78388610193361
"MSC","Neural","COL4A2","CD44","Ligand","Receptor",0.163403290255439
"MSC","Neural","COL6A1","ITGA1","Ligand","Receptor",0.248208205631229
"MSC","Neural","COL6A1","CD44","Ligand","Receptor",0.330420916444687
"MSC","Neural","COL6A2","ITGA1","Ligand","Receptor",0.533609286200208
"MSC","Neural","COL6A2","CD44","Ligand","Receptor",0.615821997013665
"MSC","Neural","COL6A3","ITGA1","Ligand","Receptor",0.36340967528952
"MSC","Neural","COL6A3","CD44","Ligand","Receptor",0.445622386102978
"MSC","Neural","THBS2","CD36","Ligand","Receptor",0.238857303457486
"MSC","Neural","LAMB2","CD44","Ligand","Receptor",0.174534471654386
"MSC","Neural","LAMA4","CD44","Ligand","Receptor",0.359779773764762
"MSC","Neural","HP","CD163","Ligand","Receptor",0.0878904466703023
"MSC","Neural","APOE","SCARB1","Ligand","Receptor",1.11861069568597
"MSC","Neural","TF","TFRC","Ligand","Receptor",0.558628198453766
