"","PC1","PC2","PC3","PC4","PC5","PC6"
"LPL/Fibroblast",-0.614490978538106,-0.493717424605249,0.190331501876325,0.394028229124357,0.0274393339921294,0.0536824911618003
"LPL/Megakaryocyte",-0.614490978538106,-0.493717424605249,0.190331501876325,0.394028229124357,0.0274393339921294,0.0536824911618003
"LPL/Myeloid",-0.614490978538106,-0.493717424605249,0.190331501876325,0.394028229124357,0.0274393339921294,0.0536824911618003
"KLRD1/Megakaryocyte",-0.730819075644799,0.607814577011852,0.0278961213944972,0.4052939532888,-0.0169084887949371,-0.0578550907538979
"KLRD1/Neural",-0.615363124414579,-0.410210310959945,-0.0344789043203714,0.35294457201144,-0.0190134107909262,0.0283775711835718
"KLRD1/MSC",-0.615363124414579,-0.410210310959945,-0.0344789043203714,0.35294457201144,-0.0190134107909262,0.0283775711835718
"KLRD1/Fibroblast",-0.615363124414579,-0.410210310959945,-0.0344789043203714,0.35294457201144,-0.0190134107909262,0.0283775711835718
"KLRD1/Myeloid",-0.615363124414579,-0.410210310959945,-0.0344789043203714,0.35294457201144,-0.0190134107909262,0.0283775711835718
"B2M/MSC",-1.15623388614399,3.6331638643382,2.05949809871959,-3.12573513557022,-0.795497798646329,-1.1711592282171
"B2M/Megakaryocyte",-1.63441321905041,8.84181836337923,-0.0440258123004184,1.14031652287392,0.00997109964555981,-0.693078493017753
"LTF/MSC",-0.626372238140943,-0.370093727017325,0.262000860380076,0.291186792104377,0.00969336415768846,0.0250737482560733
"LTF/Fibroblast",-0.626372238140943,-0.370093727017325,0.262000860380076,0.291186792104377,0.00969336415768846,0.0250737482560733
"LTF/Megakaryocyte",-0.631017788103114,-0.371194135909047,0.262394088807496,0.293356572649468,0.00673849247510305,0.0198467721997354
"ITGA4/Megakaryocyte",-0.382230194078198,6.87284327367689,-6.13789321723089,3.1970960238227,0.354203431401489,0.74526008714534
"ITGA4/Neural",-0.340107514210602,-0.359490240705557,-0.808405752802538,-0.220675542353623,-0.102818687751006,0.171384395710837
"ITGA4/MSC",-0.340107514210602,-0.359490240705557,-0.808405752802538,-0.220675542353623,-0.102818687751006,0.171384395710837
"ITGA4/Fibroblast",-0.340107514210602,-0.359490240705557,-0.808405752802538,-0.220675542353623,-0.102818687751006,0.171384395710837
"ITGA4/Myeloid",-0.305853796416891,0.288108536536356,-1.05895312095611,-0.825970654455612,-0.252915874897783,0.0484097204534804
"CFH/Neural",-0.592045588416129,-0.488400720714795,0.188431630893151,0.38354486038081,0.0417157613907609,0.0789369565521068
"CFH/Fibroblast",-0.591635451024375,-0.48830356992783,0.188396914296062,0.383353298961252,0.041976635432481,0.0793984257769738
"CFH/Megakaryocyte",-0.592045588416129,-0.488400720714795,0.188431630893151,0.38354486038081,0.0417157613907609,0.0789369565521068
"CFH/Myeloid",-0.592045588416129,-0.488400720714795,0.188431630893151,0.38354486038081,0.041715761390761,0.0789369565521068
"MDK/Neural",-0.610022383388184,-0.492658931665448,0.189953252011868,0.391941098235876,0.0302816509140372,0.0587103651582329
"MDK/Megakaryocyte",-0.610022383388184,-0.492658931665448,0.189953252011868,0.391941098235876,0.0302816509140372,0.0587103651582329
"MDK/Myeloid",-0.610022383388184,-0.492658931665448,0.189953252011868,0.391941098235876,0.0302816509140372,0.0587103651582329
"GRN/Neural",-0.615220933395721,-0.493890331753049,0.19039328981346,0.394369166522636,0.0269750353345598,0.0528611769052743
