"","source","target","gene_A","gene_B","MeanLR","type_gene_A","type_gene_B"
"107","MSC","Fibroblast","LGALS1","ITGB1",0.791548330171244,"Ligand","Receptor"
"108","MSC","Fibroblast","CCL2","ACKR1",0.398278091170338,"Ligand","Receptor"
"109","MSC","Fibroblast","VCAN","ITGB1",0.85198337714507,"Ligand","Receptor"
"110","MSC","Fibroblast","HGF","ITGB1",0.380949090623139,"Ligand","Receptor"
"111","MSC","Fibroblast","CXCL12","ITGB1",1.19230012581954,"Ligand","Receptor"
"112","MSC","Fibroblast","LUM","ITGB1",0.613987721664015,"Ligand","Receptor"
"113","MSC","Fibroblast","LGALS3BP","ITGB1",0.368236692078896,"Ligand","Receptor"
"114","MSC","Fibroblast","FSTL1","DIP2A",0.623532091881828,"Ligand","Receptor"
"115","MSC","Fibroblast","TIMP1","CD63",0.944980217475987,"Ligand","Receptor"
"116","MSC","Fibroblast","SLPI","PLSCR1",0.471553131558024,"Ligand","Receptor"
"117","MSC","Fibroblast","MDK","NCL",0.812745854302084,"Ligand","Receptor"
"118","MSC","Fibroblast","SPARC","ENG",0.596330435565758,"Ligand","Receptor"
"119","MSC","Myeloid","TIMP1","CD63",1.13167134004962,"Ligand","Receptor"
"120","Megakaryocyte","Neural","B2M","TFRC",2.85156632706888,"Ligand","Receptor"
"121","Megakaryocyte","Neural","LGALS9","SLC1A5",0.3954732147996,"Ligand","Receptor"
"122","Megakaryocyte","MSC","LGALS9","LRP1",0.285201957211899,"Ligand","Receptor"
"123","Megakaryocyte","MSC","LGALS9","CD47",0.247827924963248,"Ligand","Receptor"
"124","Megakaryocyte","MSC","LGALS9","MRC2",0.304832121132642,"Ligand","Receptor"
"125","Megakaryocyte","MSC","APP","CD74",0.447220552590891,"Ligand","Receptor"
"126","Megakaryocyte","MSC","APP","LRP1",0.308235736480566,"Ligand","Receptor"
"127","Megakaryocyte","MSC","CD99","CD81",0.962386180795827,"Ligand","Receptor"
"128","Megakaryocyte","MSC","DLK1","NOTCH3",0.768940914957177,"Ligand","Receptor"
"129","Megakaryocyte","MSC","TGFB1","ITGB1",0.540332815657206,"Ligand","Receptor"
"130","Megakaryocyte","MSC","TGFB1","TGFBR3",0.423017436014052,"Ligand","Receptor"
"131","Megakaryocyte","MSC","PF4","LRP1",1.9941194549923,"Ligand","Receptor"
"132","Megakaryocyte","MSC","LGALS1","ITGB1",0.598794624979703,"Ligand","Receptor"
"133","Megakaryocyte","MSC","CALR","LRP1",0.390418536853536,"Ligand","Receptor"
"134","Megakaryocyte","MSC","TIMP1","CD63",1.42802532817951,"Ligand","Receptor"
"135","Megakaryocyte","MSC","TGFB1","ENG",0.556457554858681,"Ligand","Receptor"
"136","Megakaryocyte","MSC","F13A1","ITGB1",0.685490498072233,"Ligand","Receptor"
"137","Megakaryocyte","MSC","SERPINE2","LRP1",0.311327271486178,"Ligand","Receptor"
"138","Megakaryocyte","MSC","LRPAP1","LRP1",0.273630812673572,"Ligand","Receptor"
"139","Megakaryocyte","MSC","PSAP","LRP1",0.491389157866603,"Ligand","Receptor"
"140","Megakaryocyte","MSC","HLA-B","CANX",1.8319985971891,"Ligand","Receptor"
"141","Megakaryocyte","MSC","HSP90B1","LRP1",0.297532852350648,"Ligand","Receptor"
"142","Megakaryocyte","MSC","PDAP1","PDGFRB",0.357782755535686,"Ligand","Receptor"
